AcresBurned,AdminUnit,ArchiveYear,Counties,Extinguished date,extinguish time,Fatalities,Latitude,Location,Longitude,Name,SearchDescription,Started date,Start Time,StructuresDamaged,StructuresDestroyed
15,CAL FIRE Riverside Unit,2017,Riverside,1/9/2018,09:50:00Z,,33.56777,Avenue 66 and Hwy 111 near community of Mecca,-116.08003,66 Fire,"66 Fire started on April 13, 2017 near Avenue 66 and Highway 111, near the community of Mecca (Riverside County) and burned 30 acres.",4/13/2017,02:30:00Z,,
55,Bureau of Indian Affairs,2019,Riverside,6/24/2019,11:46:00Z,,33.57039,Off Avenue 66 in Thermal,-116.1466,66 Fire,"The 66 fire started May 29, 2019 off Avenue 66 in Thermal (Riverside County) and burned 55 acres. ",5/29/2019,21:06:00Z,,
20,CAL FIRE Butte Unit,2018,Butte,1/4/2019,10:07:00Z,,39.602703,"off Highway 70 at Table Mountain Road, north of Oroville",-121.617698,70 Fire,"The 70 fire started on June 14, 2018 off Highway 70 at Table Mountain Road, north of Oroville (Butte County) and burned 20 acres. It was contained on June 14, 2018.  ",6/14/2018,15:18:00Z,,
30,CAL FIRE Butte Unit,2016,Butte,5/29/2016,19:53:00Z,,39.624017,Hwy 70 between Clark Rd and Wheelock Rd,-121.595093,70 Fire,"70 Fire started on May 29, 2016 off Hwy 70 between Clark Rd and Wheelock Rd (Butte County)and burned 30 acres.",5/29/2016,16:51:00Z,,
49,CAL FIRE Butte County Fire,2016,Butte,6/21/2016,16:30:00Z,,39.43351,off Highway 70 at Palermo Rd.,-121.6051,70 Fire,The 70 Fire off Highway 70 at Palermo Rd (Butte County) burned in June 2016.,6/21/2016,15:09:00Z,,
10,CAL FIRE / Riverside County Fire,2018,Riverside,1/4/2019,10:21:00Z,,33.53924,"Highway 86 Expressway and Avenue 70, Thermal",-116.10231,70th Fire,"The 70th Fire started on May 28, 2018 at Highway 86 Expressway and Avenue 70, Thermal in Riverside County. The fire burned 3 acres and is 100% contained on May 28, 2018.",5/28/2018,07:23:00Z,,
550,CAL FIRE Butte Unit,2016,Butte,8/3/2016,08:00:00Z,,39.6708,"Off of Highway 99 and Neal Road, south of Chico",-121.7192,99 Fire,"The 99 Fire started on August 2, 2016 off of Highway 99 and Neal Rd, south of Chico (Butte County).",8/2/2016,14:35:00Z,,
47,CAL FIRE Santa Clara Unit ,2019,Santa Clara,7/15/2019,18:19:00Z,,37.32555556,"Off Aborn Road and Murillo Avenue, East San Jose ",-121.7644444,Aborn Fire,"Aborn Fire started on July 15,2019 off Aborn Road and Murillo Avenue, East San Jose in Santa Clara County.",7/15/2019,11:12:00Z,,
60,CAL FIRE Tehama - Glenn Unit,2018,Tehama,1/4/2019,08:50:00Z,,40.346652,"off Adams Road at Barr Lane, southwest of Cottonwood ",-122.308479,Adams Fire,"The Adams fire started November 5, 2018 off Adams Road at Bar Road, southwest of Cottonwood (Tehama County) and burned 60 acres. It was contained November 6, 2018.  ",11/5/2018,10:17:00Z,,
85,CAL FIRE San Luis Obispo,2013,San Luis Obispo,7/7/2013,22:00:00Z,,35.62743,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",-120.83417,Adelaida Fire,"The Adelaida Fire burned in July 2013 off Adelaida Road and Vineyard Dr, west of Paso Robles in San Luis Obispo County. ",7/7/2013,13:16:00Z,,
38,San Diego City Fire Dept.,2018,San Diego,1/4/2019,10:16:00Z,,32.78031,"I-8 and College Ave, San Diego City",-117.06782,Adobe Fire,"The Adobe Fire started June 3 2018 near I-8 and College Ave, San Diego City (San Diego County).  This fire was contained on June 6, 2018 and burned 38 acres.",6/3/2018,16:16:00Z,,
86,CAL FIRE Tulare Unit,2015,Tulare,8/5/2015,17:45:00Z,,36.49845,5 miles north of the community of Three Rivers near Advance,-118.9009,Advance Fire,"The Advance Fire started on July 30, 2015 and burned 86 acres near 5 miles north of the community of Three Rivers near Advance in Tulare County.",7/30/2015,12:40:00Z,,
27,CAL FIRE Siskiyou Unit,2018,Siskiyou,1/4/2019,10:24:00Z,,41.791859,"off Ager Road, northeast of Montague",-122.513883,Ager Fire,"The Ager fire started on May 19, 2018 off Ager Road, northeast of Montague (Siskiyou County) and burned 27 acres. It was contained on May 19, 2018. ",5/19/2018,13:04:00Z,,
59,CAL FIRE San Diego Unit,2018,San Diego,1/4/2019,10:23:00Z,,33.35505,"Hwy 76 and Agua Tibia Ranch Rd, 7.5 miles east of I-15",-117.03134,Agua Fire,"The Agua Fire started on May 22, 2018 at Hwy 76 and Agua Tibia Ranch Rd, 7.5 miles east of I-15 in San Diego County. The fire burned 59 acres and is 100% contained. The fire was contained on May 24, 2018.",5/22/2018,14:13:00Z,,
1314,CAL FIRE San Benito-Monterey,2018,San Benito,1/4/2019,10:15:00Z,,36.40755,Coalinga and Airline Highway,-120.99322,Airline Fire,"The Airline Fire started on June 4, 2018 off Coalinga and Airline Highway in Monterey County and burned 1,314 acre. It was contained on June 11, 2018.",6/4/2018,17:01:00Z,,
28687,Unified Command: CAL FIRE San Luis Obispo Unit / Santa Barbara County / Los Padres National Forest,2017,San Luis Obispo,1/9/2018,11:46:00Z,,35.0179,Off Highway 166 near Twitchell Reservoir,-120.3223,Alamo Fire,"The Alamo Fire started on July 6, 2017 off Highway 166 near Twitchell Reservoir (San Luis Obispo County) and burned 28,687 acres.",7/6/2017,15:44:00Z,1,0
30,Contra Costa County Fire,2018,Contra Costa,1/4/2019,09:17:00Z,,37.99618,"off Highway 4 and Alhambra Ave, Martinez",-122.14097,Alhambra Fire,"The Alhambra Fire started August 17, 2018 off Highway 4 and Alhambra Ave, Martinez (Contra Costa County). The fire was contained on August 18, 2018 and burned 30 acres.",8/17/2018,19:19:00Z,,
175,Orange County Fire,2018,Orange,1/4/2019,10:19:00Z,,33.55132,"Aliso Woods Canyon Park, Community of Aliso Viejo",-117.72044,Aliso Fire,"The Aliso Fire Started June 2 2018 near Aliso Woods Canyon Park, Community of Aliso Viejo (Orange County).  This fire was contained on June 7, 2018 and burned 175 acres. ",6/2/2018,13:07:00Z,,
300,Department of Defense - Camp Pendleton ,2018,San Diego,1/4/2019,10:26:00Z,,33.389425,"Basilone Rd and San Juan Rd, Camp Pendleton Marine Corps Base",-117.502405,Alpha Fire,"The Alpha Fire started May 4 2018 near Basilone Rd and San Juan Rd, Camp Pendleton Marine Corps Base (San Diedgo County).",5/4/2018,11:44:00Z,,
15,CAL FIRE San Benito-Monterey,2017,Monterey,1/9/2018,11:10:00Z,,35.947,Alvarado Rd and Wunpost in the community of Bradley,-120.87492,Alvarado Fire,"The Alvarado Fire started on June 28, 2017 off of Alvarado Rd and Wunpost in the community of Bradley (Monterey County) and burned 15 acres.",6/28/2017,09:30:00Z,,
526,Unified Command: CAL FIRE Sonoma-Lake-Napa Unit and American Canyon Fire Protection District,2019,Napa,10/7/2019,18:34:00Z,,38.165873,"American Canyon and Highway 80, east of American Canyon",-122.211671,American Fire,"The American Fire started on October 6, 2019 off of American Canyon and Highway 80, east of American Canyon in Napa County.",10/6/2019,16:36:50Z,,1
27440,Tahoe National Forest,2013,Placer,8/30/2013,08:00:00Z,,39.12,"Deadwood Ridge, northeast of Foresthill",-120.65,American Fire,"The American Fire burned in August 2013 off Deadwood Ridge, northeast of Foresthill on the Tahoe National Forest in Placer County. ",8/10/2013,16:30:00Z,,
76,CAL FIRE Fresno-Kings Unit,2018,Fresno,1/4/2019,09:59:00Z,,36.696879,"Anchor Ave and Hills Valley Rd, north of Orange Cove",-119.304499,Anchor Fire,"The Anchor Fire started on June 27, 2018 off Anchor Ave and Hills Valley Rd, north of Orange Cove in Fresno County. ",6/27/2018,12:39:00Z,,
134,Sequoia National Forest,2013,Tulare,9/24/2013,20:15:00Z,,36.258,Golden Trout Wilderness,-118.459,Angora Fire,The Angora Fire burned September 2013 in the Golden Trout WIlderness in Tulare County.,9/8/2013,11:53:00Z,,
0,Lassen National Forest,2017,Lassen,1/9/2018,11:45:00Z,,40.6361,"10 Miles west of Eagle Lake, Lassen National Forest",-120.9643,Antelope Fire,"The Antelope Fire started on July 6, 2017 10 Miles west of Eagle Lake, Lassen National Forest (Lassen County).",7/6/2017,13:00:00Z,,
167,CAL FIRE San Benito-Monterey Unit,2019,San Benito,9/3/2019,07:11:00Z,,36.600167,"Panoche Road and New Idria Road, Paicines",-120.8405,Antelope Fire,"The Antelope Fire started on September 2, 2019 off Panoche Road and New Idria Road, Paicines in San Benito County",9/2/2019,15:40:37Z,,
543,CAL FIRE/Riverside County Fire,2015,Riverside,8/15/2015,17:30:00Z,,33.5736,Highway 74 east of Highway 371,-116.5387,Anza Fire,"The Anza Fire started on August 10, 2015 off Highway 74 east of Highway 371 near Anza, in Riverside County.",8/10/2015,11:44:00Z,,
310,CAL FIRE Tuolumne-Calaveras Unit,2016,Calaveras,7/8/2016,19:32:00Z,,38.02845,"Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp",-120.61153,Appaloosa Fire,"The Appaloosa Fire started on July 2, 2016 off Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp (Calaveras County) and burned 310 acres.",7/2/2016,14:55:00Z,,
2956,CAL FIRE Tehama-Glenn Unit,2018,Tehama,1/4/2019,10:10:00Z,,39.94355,"Off Apple Rd & Paskenta Rd, west of Corning",-122.3571,Apple Fire,"The Apple Fire started on June 9, 2018 off Apple Rd & Paskenta Rd, west of Corning (Tehama County) and burned 2,956 acres. It was contained on June 12, 2018. ",6/9/2018,14:10:00Z,,5
30,CAL FIRE / Fresno County Fire,2018,Fresno,1/3/2019,09:46:00Z,,35.92436,"25th Ave & Ultica Ave, south of Kettleman City",-119.94083,Aqueduct Fire,"The Aqueduct Fire started on April 12, 2018 off 25th Ave & Ultica Ave, south of Kettleman City (Fresno County)and burned 30 acres.",4/12/2018,14:30:00Z,,
43,CAL FIRE San Benito - Monterey Unit,2019,Monterey,6/17/2019,08:46:00Z,,35.97059,near San Ardo,-120.88241,Ardo Fire,"The Ardo Fire started on June 12, 2019 near San Ardo (Monterey County) and burned 43 acres. It was contained on June 12, 2019.",6/12/2019,17:23:00Z,,
225,CAL FIRE San Luis Obispo Unit,2017,San Luis Obispo,1/9/2018,09:57:00Z,,35.21177,off of Soda Lake,-119.87525,Arrow Fire,"The Arrow Fire started on May 15, 2017 off of Soda Lake Road, California Valley, (San Luis Obispo County) and burned 225. ",5/15/2017,13:58:00Z,,
70,CAL FIRE San Benito-Monterey Unit,2016,Monterey,6/20/2016,18:15:00Z,,36.2833,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",-121.3306,Arroyo Fire,"The Arroyo Fire started on June 18 off Arroyo Seco Rd &  Elm Ave, E of Greenfield in Monterey County.",6/18/2016,16:47:00Z,,
40,CAL FIRE Sonoma-Lake-Napa Unit,2015,Solano,7/10/2015,17:00:00Z,,38.1029,Lake Herman Rd and Sky Valley Rd,-122.1578,Ascot Fire,The Ascot Fire is burning off Lake Herman Road and Sky Valley Road in Vallejo in Solano County and burned 40 acres in July 2015.,7/10/2015,13:36:00Z,,
22992,Sierra National Forest,2013,Fresno,9/24/2013,20:15:00Z,,37.279,Seven miles north of Big Creek,-119.318,Aspen Fire,The Aspen Fire burned in July 2013 seven miles north of Big Creek on the Sierra National Forest in Fresno County.,7/22/2013,22:15:00Z,,
169,CAL FIRE Nevada-Yuba-Placer Unit,2016,Placer,5/19/2016,18:00:00Z,,38.8390117,"Off Athens Ave & Industrial Blvd, south of Lincoln",-121.3090268,Athens Fire,"The Athens Fire started on May 17, 2016 off Athens Ave & Industrial Blvd, south of Lincoln (Placer County).",5/17/2016,15:06:00Z,,
51624,CAL FIRE Sonoma-Lake-Napa Unit,2017,Napa,2/9/2018,09:37:00Z,6,38.39206,"Off of Altas Peak Rd, south of Lake Berryessa",-122.24367,Atlas Fire (Southern LNU Complex),"The Atlas Fire started on October 8, 2017 off of Altas Peak Rd, south of Lake Berryessa (Napa County). It was contained on October 27, 2017.",10/8/2017,21:52:00Z,783,120
51624,CAL FIRE Sonoma-Lake-Napa Unit,2017,Solano,2/9/2018,09:37:00Z,6,38.39206,"Off of Altas Peak Rd, south of Lake Berryessa",-122.24367,Atlas Fire (Southern LNU Complex),"The Atlas Fire started on October 8, 2017 off of Altas Peak Rd, south of Lake Berryessa (Napa County). It was contained on October 27, 2017.",10/8/2017,21:52:00Z,783,120
91,CAL FIRE/Fresno County Fire,2017,Fresno,1/9/2018,11:45:00Z,,36.95104,"off Auberry Rd, north of Clovis",-119.65621,Auberry Fire,"The Auberry Fire started on July 5th, 2017 off Auberry Rd. north of Clovis (Fresno County) and burned 91 acres.",7/5/2017,15:40:00Z,,5
47,CAL FIRE Nevada-Yuba-Placer Unit / Grass Valley Fire Department,2016,Nevada,9/20/2016,18:00:00Z,,39.20427,"Off South Auburn Street and Whiting Street, Grass Valley",-121.05948,Auburn Fire,"The Auburn Fire started on September 17, 2016 off of South Auburn Street and Whiting Street in Grass Valley (Nevada County)",9/17/2016,13:40:00Z,,
25,CAL FIRE Amador El-Dorado,2016,El Dorado,6/4/2016,15:30:00Z,,38.64107,off Mount Aukum Road & Grizzly Flat Road,-120.6955,Aukum Fire,The Aukum Fire off Mount Aukum Road & Grizzly Flat Road (El Dorado County) burned in June 2016.,6/3/2016,12:41:00Z,,
132,CAL FIRE Fresno-Kings Unit,2016,Fresno,5/17/2016,19:10:00Z,,36.78769,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",-119.38248,Avocado Fire,"The Avocado Fire started on May 15, 2016 off Piedra Rd near Kings River, 10 miles northeast of Sanger (Fresno County).",5/15/2016,16:38:00Z,,
74,CAL FIRE Amador-El Dorado Unit,2017,El Dorado,1/9/2018,11:50:00Z,,38.7803,"Axel Ct & Barrister Ct, Rescue",-120.97111,Axel Fire,"The Axel Fire started on July 8, 2017 off Axel Ct & Barrister Ct, Rescue (El Dorado County) and burned 74 acres.",7/8/2017,16:38:00Z,,
10,CAL FIRE/Riverside County Fire Department,2019,Riverside,9/10/2019,10:45:00Z,,33.496633,Bailey Road and Terwilliger Road in Anza,-116.631106,Bailey Fire,"The Bailey Fire started September 10, 2019 off Bailey Road and Terwilliger Road in Anza in Riverside County.",9/10/2019,10:43:58Z,,
26,CAL FIRE Siskiyou Unit,2016,Siskiyou,7/20/2016,09:00:00Z,,41.96191,"Hwy 5 at Bailey Hill, 2 mi southeast of Hilt",-122.59328,Bailey Fire,"The Bailey Fire started on July 19 off of Hwy 5 at Bailey Hill, 2 mi southeast of Hilt in Siskiyou County. ",7/19/2016,14:09:00Z,,
40,Orange County Fire Authority,2013,Orange,10/9/2013,08:00:00Z,,33.7655,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",-117.6649,Baker Fire,"The Baker Fire burned 40 acres in October 2013 off Baker Canyon Rd, Silverado Canyon area, east of Irvine in Orange County.",10/6/2013,10:52:00Z,,
57,CAL FIRE Tuolumne-Calaveras Unit,2016,Calaveras,7/22/2016,19:00:00Z,,37.98171,off Baker St & School St near Copperopolis ,-120.64241,Baker Fire,The Baker Fire started on July 21 off Baker St & School St near Copperopolis in Calaveras County.  ,7/21/2016,15:06:00Z,,
80,CAL FIRE Tehama-Glenn Unit,2016,Tehama,8/4/2016,07:50:00Z,,40.19611,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",-122.26736,Baker Fire,"The Baker Fire started on August 3, 2016 Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff(Tehama County) and burned 80 acres.",8/3/2016,17:27:00Z,,
100,CAL FIRE Tulare Unit,2018,Tulare,1/4/2019,09:33:00Z,,36.21634,"off Balch Park Road and Yokohl Drive, northeast of Porterville",-118.82989,Balch Fire,"The Balch Fire started July 27, 2018 off Balch Park Road and Yokohl Drive, northeast of Porterville (Tulare County). The fire was contained on July 30, 2018 and burned 100 acres.",7/27/2018,12:14:00Z,,
20,CAL FIRE Humboldt-Del Norte Unit ,2015,Humboldt,6/11/2015,18:15:00Z,,41.1513,"off Bald Hills Rd, 15 miles east of Hwy 101 & Orick ",-123.8292,Bald Fire,"The Bald Fire started on June 10 off off Bald Hills Rd, 15 miles east of Hwy 101 & Orick in Humboldt County. ",6/10/2015,07:42:00Z,,
39736,CAL FIRE Lassen-Modoc Unit / USFS - Lassen National Forest,2014,Shasta,8/15/2014,14:00:00Z,,40.901,8 miles southeast of Fall River Mills,-121.368,Bald Fire,"The Bald Fire started on July 30 and burned 39,736 acres 8 miles southeast of Fall River Mills on the Lassen National Forest in Shasta County. ",7/30/2014,20:15:00Z,,
210,Six Rivers National Forest,2014,Humboldt,9/15/2014,11:00:00Z,,41.134,1 mile northwest of Hoopa,-123.753,Bald Hill 3 Fire,The Bald Hill 3 Fire started on September 12 and burned 210 acres 1 mile northwest of Hoopa in Humboldt County.,9/12/2014,15:00:00Z,,
100,CAL FIRE Santa Clara Unit/Gilroy Fire Dept,2017,Santa Clara,1/9/2018,12:50:00Z,,36.99092,"Ballybunion Ct, Gilroy",-121.59899,Bally Fire,"The Bally Fire on September 3 2017 off Ballybunion Court, Gilroy (Santa Clara County) and burned 100 acres.",9/3/2017,19:17:00Z,,
36,CAL FIRE Madera-Mariposa-Merced Unit,2017,Mariposa,1/9/2018,11:48:00Z,,37.65963,"Banderilla Dr & Hidalgo St, north of Hayward",-120.34802,Banderilla Fire,"The Banderilla Fire started on July 7, 2017 off Banderilla Dr & Hidalgo St, north of Hayward (Mariposa County) and burned 36 acres.",7/7/2017,15:50:00Z,,
48,CAL FIRE San Bernardino Unit / Chino Valley Fire District,2014,San Bernardino,10/17/2014,18:15:00Z,,33.93869,in Chino Hills State Park near the Bane Canyon entrance,-117.70643,Bane Fire,"The Bane Fire started on October 16, 2014 and burned 48 acres in the Chino Hills State Park near the Bane Canyon entrance in San Bernardino County.",10/16/2014,14:34:00Z,,
130,CAL FIRE Butte Unit,2016,Butte,9/23/2016,10:30:00Z,,39.4403,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",-121.42647,Bangor Fire,The Bangor Fire burned 130 acres off Oro-Bangor Hwy and Swedes Flat Rd 7 miles SE of Oroville in September 2016.,9/22/2016,11:45:00Z,,
29,Ventura County Fire Department,2015,Ventura,11/12/2015,18:00:00Z,,36.75019562,off Wood Ranch Parkway 2 miles sw of Simi Valley,-120.6382317,Banister Fire,CAL FIRE is assisting @VCFD with a 40 acre wildfire off Wood Ranch Parkway 2 miles sw of Simi Valley (Ventura County). #BanisterFire,11/11/2015,17:40:00Z,,
217,CAL FIRE San Diego Unit,2014,San Diego,7/6/2014,09:15:00Z,,33.078948,"Banner Grade, east of Julian",-116.576454,Banner Fire,"The Banner Fire started on July 3, 2014 and burned 217 acres on Banner Grade, west of Julian in San Diego County.",7/3/2014,10:43:00Z,,3
